parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,true_param,sim
v_1,5.56,0.009,0.737,4.126,5.058,5.557,6.07,6.992,6050.38,1,0.459,60
v_2,3.401,0.008,0.577,2.281,3.01,3.4,3.79,4.557,5790.528,1,0.381,60
a,0.462,0,0.028,0.41,0.442,0.46,0.481,0.521,3552.349,1,0.723,60
ndt,0.49,0,0.002,0.486,0.489,0.49,0.491,0.493,3684.146,1,0.954,60
v_1,0.445,0.002,0.166,0.151,0.324,0.435,0.558,0.791,6031.14,1,2.684,61
v_2,0.317,0.002,0.144,0.081,0.209,0.304,0.412,0.629,5498.029,1.001,2.436,61
a,1.258,0.001,0.059,1.148,1.218,1.255,1.296,1.379,4659.644,1,1.685,61
ndt,0.428,0,0.013,0.401,0.42,0.429,0.437,0.45,4460.592,1,0.085,61
v_1,0.85,0.003,0.198,0.472,0.714,0.846,0.985,1.25,6160.412,1,3.637,62
v_2,0.852,0.003,0.211,0.438,0.71,0.847,0.991,1.275,6004.735,1.001,3.327,62
a,1.266,0.001,0.062,1.154,1.224,1.264,1.305,1.397,5333.355,1,1.616,62
ndt,0.446,0,0.011,0.421,0.439,0.447,0.453,0.465,5241.863,1,0.111,62
v_1,0.101,0.001,0.06,0.018,0.057,0.091,0.133,0.245,7656.425,1,0.712,63
v_2,0.379,0.002,0.133,0.137,0.283,0.375,0.468,0.652,6310.438,1,1.865,63
a,1.54,0.001,0.069,1.411,1.492,1.536,1.585,1.683,5336.823,1,1.836,63
ndt,0.394,0,0.019,0.353,0.382,0.395,0.407,0.427,5623.854,1,0.122,63
v_1,1.324,0.004,0.289,0.76,1.134,1.327,1.516,1.885,5835.454,1,2.357,64
v_2,0.506,0.003,0.205,0.148,0.357,0.496,0.638,0.945,6477.972,1,1.275,64
a,0.954,0.001,0.043,0.873,0.925,0.952,0.982,1.043,6170.679,1,0.884,64
ndt,0.488,0,0.006,0.475,0.484,0.488,0.492,0.497,5789.405,1,0.331,64
v_1,0.177,0.001,0.111,0.03,0.094,0.155,0.236,0.453,8110.557,1,0.308,65
v_2,0.253,0.002,0.151,0.047,0.14,0.223,0.335,0.625,7640.945,1,3.045,65
a,0.437,0,0.02,0.401,0.424,0.436,0.45,0.478,4699.208,1,0.82,65
ndt,0.49,0,0.002,0.486,0.489,0.49,0.491,0.493,4465.114,1,0.039,65
v_1,1.27,0.005,0.347,0.597,1.033,1.265,1.505,1.962,5244.264,1.001,2.208,66
v_2,1.276,0.004,0.321,0.656,1.059,1.271,1.491,1.927,6001.344,1,3.352,66
a,0.764,0,0.035,0.699,0.74,0.763,0.787,0.836,5543.296,1,0.726,66
ndt,0.489,0,0.004,0.481,0.487,0.489,0.492,0.495,6170.231,1,0.248,66
v_1,5.499,0.008,0.642,4.254,5.071,5.491,5.932,6.768,5774.099,1,1.837,67
v_2,4.88,0.008,0.602,3.741,4.474,4.879,5.282,6.062,5350.092,1,1.999,67
a,0.539,0.001,0.04,0.466,0.511,0.537,0.565,0.624,3863.12,1.001,1.171,67
ndt,0.487,0,0.002,0.481,0.485,0.487,0.488,0.491,3875.556,1.001,0.955,67
v_1,0.247,0.002,0.148,0.045,0.137,0.218,0.326,0.604,6787.534,1,3.444,68
v_2,0.284,0.002,0.169,0.047,0.157,0.251,0.382,0.687,7528.783,1,1.75,68
a,0.433,0,0.019,0.398,0.419,0.432,0.445,0.473,4949.901,1.001,0.561,68
ndt,0.491,0,0.002,0.487,0.49,0.491,0.492,0.493,4797.852,1.001,0.05,68
v_1,0.146,0.001,0.087,0.025,0.082,0.129,0.193,0.358,7210.274,1,1.554,69
v_2,0.112,0.001,0.07,0.019,0.06,0.097,0.148,0.284,7380.581,1,0.327,69
a,0.742,0,0.033,0.68,0.719,0.741,0.763,0.812,4931.206,1,1.762,69
ndt,0.464,0,0.005,0.453,0.461,0.464,0.467,0.473,4855.993,1,0.022,69
